,fname,Class,duration
0,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\100.wav,Accordion,3.0
1,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1000.wav,Accordion,3.0
2,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1001.wav,Accordion,3.0
3,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1002.wav,Accordion,3.0
4,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1003.wav,Accordion,3.0
5,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1004.wav,Accordion,3.0
6,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1005.wav,Accordion,3.0
7,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1006.wav,Accordion,3.0
8,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1007.wav,Accordion,3.0
9,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1008.wav,Accordion,3.0
10,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1009.wav,Accordion,3.0
11,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1022.wav,Accordion,3.0
12,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\101.wav,Accordion,3.0
13,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1011.wav,Accordion,3.0
14,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1012.wav,Accordion,3.0
15,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1013.wav,Accordion,3.0
16,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1014.wav,Accordion,3.0
17,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1015.wav,Accordion,3.0
18,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1016.wav,Accordion,3.0
19,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1017.wav,Accordion,3.0
20,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1018.wav,Accordion,3.0
21,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1019.wav,Accordion,3.0
22,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\102.wav,Accordion,3.0
23,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1020.wav,Accordion,3.0
24,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\2654.wav,Accordion,3.0
25,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1021.wav,Accordion,3.0
26,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1023.wav,Accordion,3.0
27,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1047.wav,Accordion,3.0
28,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1026.wav,Accordion,3.0
29,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1027.wav,Accordion,3.0
30,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1028.wav,Accordion,3.0
31,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1029.wav,Accordion,3.0
32,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\103.wav,Accordion,3.0
33,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1030.wav,Accordion,3.0
34,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1031.wav,Accordion,3.0
